Squadra,Mgf,Sgf,Mgs,Sgs
Inter,2.0869565217391304,1.164358718478306,0.8695652173913043,0.8148813536665076
Lazio,2.3043478260869565,1.428119634939456,0.8695652173913043,0.8148813536665075
Napoli,1.565217391304348,1.2730095677895725,1.4782608695652173,1.0816471117274342
Atalanta,2.652173913043478,1.8975749033526956,1.3478260869565217,1.027295463038481
Torino,1.173913043478261,1.1541298931561732,1.826086956521739,1.6963108075265054
Brescia,0.9130434782608695,0.8481554037632527,1.826086956521739,1.402989467758157
Juventus,1.9130434782608696,0.9960395884000189,1.0,0.9045340337332909
Udinese,0.8695652173913043,0.9197009309398037,1.565217391304348,1.7009646182125797
Genoa,1.0434782608695652,0.928256472668725,1.8695652173913044,1.3916748518532023
Roma,1.826086956521739,1.3702081432144626,1.3043478260869565,1.06321906614239
Bologna,1.608695652173913,1.0330506647252728,1.565217391304348,0.8957519419470862
Verona,1.2173913043478262,0.902346523798844,1.0434782608695652,1.0215078369104984
Fiorentina,1.1304347826086956,0.9197009309398037,1.4782608695652173,1.4100149972571634
Spal,0.7391304347826086,0.7518094115561123,1.7391304347826086,1.1761799222424119
Sassuolo,1.6521739130434783,1.1912062508297252,1.6521739130434783,1.26522350350995
Cagliari,1.6521739130434783,1.3006535298622317,1.5217391304347827,0.9472239447886797
Milan,1.0869565217391304,0.9001536978993628,1.3478260869565217,1.3687650589349747
Parma,1.3478260869565217,1.2652235035099497,1.3043478260869565,1.1455361035021452
Sampdoria,1.0869565217391304,1.2399795994751788,1.6521739130434783,1.555304578536246
Lecce,1.3043478260869565,1.145536103502145,1.9130434782608696,1.202763616096502
