Squadra,Mgf,Sgf,Mgs,Sgs
Inter,2.1315789473684212,1.298045362793278,0.9473684210526315,0.8988692121757423
Lazio,2.0789473684210527,1.3632548283005566,1.105263157894737,0.9526484756012755
Napoli,1.605263157894737,1.1280088576470926,1.3157894736842106,0.9615658164398637
Atalanta,2.5789473684210527,1.8835214137550886,1.263157894736842,0.9496574211991876
Torino,1.2105263157894737,1.0438466993391295,1.7894736842105263,1.5273700190079802
Brescia,0.9210526315789473,0.8180920105315724,2.0789473684210527,1.531323027114549
Juventus,2.0,1.0134234194190634,1.131578947368421,1.069757553527243
Udinese,0.9736842105263158,0.914946228083648,1.3421052631578947,1.5116898686207003
Genoa,1.236842105263158,0.9707676128606846,1.9210526315789473,1.4214872103001637
Roma,2.026315789473684,1.4609667681305392,1.3421052631578947,0.9663616856742189
Bologna,1.368421052631579,1.024590956789097,1.7105263157894737,1.0373535647057281
Verona,1.236842105263158,0.9707676128606846,1.3421052631578947,1.1688829453677347
Fiorentina,1.3421052631578947,1.191780765923668,1.263157894736842,1.2451898916580313
Spal,0.7105263157894737,0.693907647755151,2.026315789473684,1.3046039495376978
Sassuolo,1.8157894736842106,1.3326515563706114,1.6578947368421053,1.2142468645541806
Cagliari,1.368421052631579,1.3032402991707421,1.4736842105263157,1.0587305531003999
Milan,1.6578947368421053,1.2792801140648677,1.2105263157894737,1.1661415874547418
Parma,1.4736842105263157,1.202179149874345,1.5,1.0842857905901357
Sampdoria,1.263157894736842,1.1782765821848358,1.7105263157894737,1.4502170338382836
Lecce,1.368421052631579,1.0760551736979407,2.236842105263158,1.514510187991677
