Squadra,Mgf,Sgf,Mgs,Sgs
Inter,2.1052631578947367,1.1496249070460265,0.8421052631578947,0.8342100651206134
Lazio,2.1578947368421053,1.213953957333768,0.8947368421052632,0.8752610304046612
Napoli,1.4736842105263157,1.2187617145935723,1.368421052631579,1.1160708020048367
Atalanta,2.5789473684210527,1.7737527534606836,1.368421052631579,1.065130472748108
Torino,1.3157894736842106,1.2042808632793345,1.368421052631579,1.2115429242540032
Brescia,0.8947368421052632,0.8752610304046612,1.894736842105263,1.5236920380774408
Juventus,1.9473684210526316,1.025978352085154,0.9473684210526315,0.9112679939102143
Udinese,0.8947368421052632,0.936585811581694,1.4736842105263157,1.8369183449048443
Genoa,1.0526315789473684,0.9703197760719182,2.0,1.3743685418725535
Roma,1.7894736842105263,1.4749368110164,1.105263157894737,0.8752610304046612
Bologna,1.4736842105263157,1.0202625507753482,1.631578947368421,0.9551338658818386
Verona,1.105263157894737,0.8752610304046612,1.105263157894737,1.1002392084403618
Fiorentina,1.2105263157894737,0.9176629354822471,1.5263157894736843,1.4286131990551607
Spal,0.631578947368421,0.7608859102526822,1.5263157894736843,0.9642741111341259
Sassuolo,1.5789473684210527,1.1212983285105118,1.7894736842105263,1.3156725094212403
Cagliari,1.736842105263158,1.367971136113539,1.5263157894736843,1.0202625507753482
Milan,0.9473684210526315,0.8481145238787242,1.263157894736842,1.3267380744248862
Parma,1.368421052631579,1.3420765964144055,1.3157894736842106,1.2042808632793343
Sampdoria,1.0,1.247219128924647,1.4736842105263157,1.348596844980885
Lecce,1.1578947368421053,0.9581903020646578,2.0,1.2018504251546631
