Squadra,Mgf,Sgf,Mgs,Sgs
Inter,2.3333333333333335,1.5275252316519465,0.3333333333333333,0.5773502691896258
Lazio,1.6666666666666667,1.1547005383792517,1.0,1.0
Napoli,3.0,1.0,2.3333333333333335,2.081665999466133
Atalanta,2.3333333333333335,0.5773502691896258,2.0,1.0
Torino,2.0,1.0,1.6666666666666667,0.5773502691896257
Brescia,1.3333333333333333,1.5275252316519468,1.6666666666666667,2.0816659994661326
Juventus,1.6666666666666667,2.0816659994661326,1.0,1.7320508075688772
Udinese,0.6666666666666666,0.5773502691896258,1.3333333333333333,1.5275252316519465
Genoa,2.0,1.0,2.0,1.0
Roma,2.6666666666666665,1.5275252316519465,2.0,1.0
Bologna,2.0,1.7320508075688772,1.3333333333333333,1.5275252316519468
Verona,0.6666666666666666,0.5773502691896258,0.6666666666666666,0.5773502691896258
Fiorentina,1.3333333333333333,1.5275252316519468,2.0,2.0
Spal,1.3333333333333333,1.1547005383792517,1.6666666666666667,1.1547005383792517
Sassuolo,2.3333333333333335,1.5275252316519468,2.3333333333333335,1.5275252316519465
Cagliari,1.3333333333333333,1.5275252316519468,1.3333333333333333,0.5773502691896257
Milan,0.6666666666666666,0.5773502691896258,0.3333333333333333,0.5773502691896258
Parma,1.3333333333333333,1.5275252316519465,1.6666666666666667,1.1547005383792517
Sampdoria,0.3333333333333333,0.5773502691896258,3.0,1.0
Lecce,0.6666666666666666,1.1547005383792517,2.0,1.7320508075688772
