Squadra,Mgf,Sgf,Mgs,Sgs
Inter,2.1818181818181817,1.3335700547436908,1.0303030303030303,0.8833476270999037
Lazio,2.0606060606060606,1.3448836831533504,1.0606060606060606,0.9333874443188752
Napoli,1.606060606060606,1.1439895634192303,1.3333333333333333,0.9895285072531598
Atalanta,2.8181818181818183,1.894969416879621,1.303030303030303,0.9837698055454996
Torino,1.2424242424242424,1.0905933886623094,1.8181818181818181,1.6096301099659793
Brescia,0.9090909090909091,0.8427498280790525,2.121212121212121,1.6155025486976133
Juventus,2.121212121212121,0.9923953268977463,1.0606060606060606,1.0588730430094635
Udinese,0.9393939393939394,0.9662878045448577,1.393939393939394,1.579940543568688
Genoa,1.2121212121212122,0.927280154456292,1.9090909090909092,1.3547056037114753
Roma,1.8484848484848484,1.37206988071882,1.3333333333333333,1.0206207261596576
Bologna,1.4242424242424243,1.0009465217452627,1.5757575757575757,0.8302975005345611
Verona,1.2424242424242424,0.9692233691951198,1.2424242424242424,1.0009465217452627
Fiorentina,1.2424242424242424,1.1188806636071333,1.3636363636363635,1.270289873862011
Spal,0.696969696969697,0.7282190812544191,1.878787878787879,1.1661254155743646
Sassuolo,1.878787878787879,1.2185435916898848,1.7272727272727273,1.2567996875180447
Cagliari,1.4545454545454546,1.348399724926484,1.4848484848484849,1.0642254261084714
Milan,1.4545454545454546,1.1205720941473682,1.2727272727272727,1.2316839913490207
Parma,1.3636363636363635,1.1942095141290594,1.4242424242424243,1.0905933886623096
Sampdoria,1.2727272727272727,1.2060453783110545,1.6363636363636365,1.4962073264211626
Lecce,1.2424242424242424,1.0615526079257398,2.242424242424242,1.561855927860806
