squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,62.0,81.0,19.0,5.0,1,89.0,2.0,28.0
Milan,25.0,67.0,42.0,8.0,2,71.0,6.0,21.0
Juventus,21.0,48.0,27.0,12.0,3,66.0,5.0,18.0
Bologna,22.0,49.0,27.0,13.0,4,64.0,5.0,17.0
Atalanta,25.0,63.0,38.0,7.0,5,61.0,10.0,18.0
Roma,20.0,62.0,42.0,9.0,6,60.0,9.0,17.0
Lazio,8.0,45.0,37.0,5.0,7,56.0,13.0,17.0
Fiorentina,12.0,51.0,39.0,9.0,8,51.0,12.0,14.0
Napoli,9.0,53.0,44.0,12.0,9,51.0,10.0,13.0
Torino,0.0,31.0,31.0,14.0,10,47.0,10.0,11.0
Monza,-8.0,38.0,46.0,12.0,11,45.0,12.0,11.0
Genoa,-2.0,41.0,43.0,13.0,12,43.0,12.0,10.0
Lecce,-18.0,32.0,50.0,13.0,13,37.0,14.0,8.0
Verona,-13.0,33.0,46.0,10.0,14,34.0,17.0,8.0
Cagliari,-23.0,37.0,60.0,12.0,15,33.0,16.0,7.0
Frosinone,-20.0,43.0,63.0,11.0,16,32.0,17.0,7.0
Empoli,-24.0,26.0,50.0,8.0,17,32.0,19.0,8.0
Udinese,-19.0,33.0,52.0,18.0,18,30.0,13.0,4.0
Sassuolo,-29.0,41.0,70.0,8.0,19,29.0,20.0,7.0
Salernitana,-48.0,27.0,75.0,9.0,20,15.0,24.0,2.0
