squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,60.0,77.0,17.0,5.0,1,83.0,1.0,26.0
Milan,26.0,63.0,37.0,6.0,2,69.0,5.0,21.0
Juventus,21.0,45.0,24.0,9.0,3,63.0,5.0,18.0
Bologna,20.0,45.0,25.0,11.0,4,59.0,5.0,16.0
Roma,22.0,58.0,36.0,7.0,5,58.0,8.0,17.0
Atalanta,21.0,57.0,36.0,7.0,6,52.0,10.0,15.0
Napoli,10.0,50.0,40.0,10.0,7,49.0,9.0,13.0
Lazio,6.0,41.0,35.0,4.0,8,49.0,13.0,15.0
Fiorentina,7.0,43.0,36.0,9.0,9,45.0,11.0,12.0
Torino,2.0,31.0,29.0,12.0,10,45.0,9.0,11.0
Monza,-7.0,34.0,41.0,10.0,11,43.0,11.0,11.0
Genoa,-4.0,35.0,39.0,12.0,12,39.0,11.0,9.0
Lecce,-21.0,27.0,48.0,11.0,13,32.0,14.0,7.0
Cagliari,-20.0,34.0,54.0,10.0,14,31.0,15.0,7.0
Verona,-14.0,30.0,44.0,10.0,15,28.0,16.0,6.0
Udinese,-18.0,31.0,49.0,16.0,16,28.0,12.0,4.0
Empoli,-23.0,25.0,48.0,7.0,17,28.0,18.0,7.0
Frosinone,-23.0,40.0,63.0,9.0,18,27.0,17.0,6.0
Sassuolo,-23.0,39.0,62.0,8.0,19,26.0,18.0,6.0
Salernitana,-42.0,26.0,68.0,9.0,20,15.0,21.0,2.0
