squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,47.0,59.0,12.0,3.0,1,63.0,1.0,20.0
Juventus,21.0,36.0,15.0,5.0,2,53.0,3.0,16.0
Milan,20.0,47.0,27.0,4.0,3,52.0,4.0,16.0
Atalanta,17.0,44.0,27.0,3.0,4,42.0,8.0,13.0
Bologna,13.0,35.0,22.0,9.0,5,42.0,4.0,11.0
Lazio,6.0,30.0,24.0,4.0,6,40.0,8.0,12.0
Roma,12.0,42.0,30.0,5.0,7,38.0,8.0,11.0
Napoli,10.0,38.0,28.0,5.0,8,38.0,8.0,11.0
Fiorentina,8.0,36.0,28.0,4.0,9,37.0,9.0,11.0
Torino,-1.0,21.0,22.0,9.0,10,33.0,7.0,8.0
Monza,-7.0,21.0,28.0,9.0,11,30.0,8.0,7.0
Genoa,-5.0,25.0,30.0,8.0,12,29.0,9.0,7.0
Lecce,-13.0,24.0,37.0,9.0,13,24.0,10.0,5.0
Frosinone,-17.0,32.0,49.0,5.0,14,23.0,13.0,6.0
Udinese,-13.0,24.0,37.0,13.0,15,22.0,8.0,3.0
Empoli,-19.0,18.0,37.0,6.0,16,21.0,13.0,5.0
Sassuolo,-18.0,30.0,48.0,5.0,17,20.0,14.0,5.0
Verona,-11.0,21.0,32.0,7.0,18,19.0,13.0,4.0
Cagliari,-23.0,22.0,45.0,6.0,19,18.0,14.0,4.0
Salernitana,-27.0,20.0,47.0,7.0,20,13.0,15.0,2.0
