,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,39.0,49.0,10.0,3.0,1,51.0,1.0,16.0
Juventus,20.0,32.0,12.0,4.0,2,49.0,1.0,15.0
Milan,17.0,38.0,21.0,3.0,3,42.0,4.0,13.0
Fiorentina,8.0,29.0,21.0,4.0,4,34.0,6.0,10.0
Atalanta,14.0,35.0,21.0,3.0,5,33.0,7.0,10.0
Lazio,4.0,24.0,20.0,3.0,6,33.0,7.0,10.0
Bologna,5.0,23.0,18.0,8.0,7,32.0,4.0,8.0
Napoli,5.0,30.0,25.0,4.0,8,31.0,7.0,9.0
Roma,8.0,32.0,24.0,5.0,9,29.0,7.0,8.0
Torino,0.0,18.0,18.0,7.0,10,28.0,6.0,7.0
Monza,-5.0,20.0,25.0,7.0,11,25.0,7.0,6.0
Genoa,-4.0,20.0,24.0,7.0,12,22.0,8.0,5.0
Lecce,-6.0,20.0,26.0,9.0,13,21.0,7.0,4.0
Sassuolo,-10.0,26.0,36.0,4.0,14,19.0,11.0,5.0
Frosinone,-14.0,25.0,39.0,4.0,15,19.0,11.0,5.0
Udinese,-11.0,21.0,32.0,12.0,16,18.0,6.0,2.0
Cagliari,-14.0,19.0,33.0,6.0,17,18.0,10.0,4.0
Verona,-9.0,18.0,27.0,5.0,18,17.0,11.0,4.0
Empoli,-24.0,11.0,35.0,4.0,19,13.0,13.0,3.0
Salernitana,-23.0,17.0,40.0,6.0,20,12.0,12.0,2.0
