squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,45.0,55.0,10.0,3.0,1,60.0,1.0,19.0
Juventus,22.0,36.0,14.0,5.0,2,53.0,2.0,16.0
Milan,19.0,46.0,27.0,4.0,3,49.0,4.0,15.0
Atalanta,14.0,40.0,26.0,3.0,4,39.0,8.0,12.0
Bologna,9.0,31.0,22.0,9.0,5,39.0,4.0,10.0
Roma,14.0,40.0,26.0,5.0,6,38.0,7.0,11.0
Napoli,11.0,38.0,27.0,5.0,7,38.0,7.0,11.0
Lazio,4.0,27.0,23.0,4.0,8,37.0,8.0,11.0
Fiorentina,4.0,31.0,27.0,4.0,9,34.0,9.0,10.0
Torino,-1.0,20.0,21.0,8.0,10,32.0,7.0,8.0
Genoa,-2.0,24.0,26.0,8.0,11,29.0,8.0,7.0
Monza,-7.0,21.0,28.0,8.0,12,29.0,8.0,7.0
Lecce,-9.0,24.0,33.0,9.0,13,24.0,9.0,5.0
Frosinone,-13.0,31.0,44.0,5.0,14,23.0,12.0,6.0
Udinese,-14.0,23.0,37.0,13.0,15,19.0,8.0,2.0
Sassuolo,-18.0,29.0,47.0,4.0,16,19.0,14.0,5.0
Verona,-11.0,21.0,32.0,6.0,17,18.0,13.0,4.0
Cagliari,-21.0,21.0,42.0,6.0,18,18.0,13.0,4.0
Empoli,-21.0,15.0,36.0,6.0,19,18.0,13.0,4.0
Salernitana,-25.0,19.0,44.0,7.0,20,13.0,14.0,2.0
