squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,55.0,67.0,12.0,3.0,1,69.0,1.0,22.0
Juventus,22.0,41.0,19.0,6.0,2,57.0,3.0,17.0
Milan,18.0,50.0,32.0,5.0,3,53.0,5.0,16.0
Bologna,16.0,39.0,23.0,9.0,4,48.0,4.0,13.0
Atalanta,20.0,48.0,28.0,4.0,5,46.0,8.0,14.0
Roma,16.0,48.0,32.0,5.0,6,44.0,8.0,13.0
Fiorentina,9.0,39.0,30.0,5.0,7,41.0,9.0,12.0
Napoli,10.0,40.0,30.0,7.0,8,40.0,8.0,11.0
Lazio,4.0,32.0,28.0,4.0,9,40.0,10.0,12.0
Torino,0.0,25.0,25.0,9.0,10,36.0,8.0,9.0
Monza,-3.0,27.0,30.0,9.0,11,36.0,8.0,9.0
Genoa,-3.0,28.0,31.0,9.0,12,33.0,9.0,8.0
Empoli,-18.0,22.0,40.0,7.0,13,25.0,13.0,6.0
Lecce,-19.0,24.0,43.0,9.0,14,24.0,12.0,5.0
Udinese,-15.0,25.0,40.0,14.0,15,23.0,9.0,3.0
Frosinone,-21.0,34.0,55.0,5.0,16,23.0,15.0,6.0
Verona,-13.0,23.0,36.0,8.0,17,20.0,14.0,4.0
Sassuolo,-22.0,32.0,54.0,5.0,18,20.0,16.0,5.0
Cagliari,-23.0,24.0,47.0,8.0,19,20.0,14.0,4.0
Salernitana,-33.0,20.0,53.0,7.0,20,13.0,17.0,2.0
