squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,57.0,70.0,13.0,3.0,1,75.0,1.0,24.0
Milan,20.0,52.0,32.0,5.0,2,59.0,5.0,18.0
Juventus,21.0,44.0,23.0,7.0,3,58.0,4.0,17.0
Bologna,16.0,41.0,25.0,9.0,4,51.0,5.0,14.0
Roma,19.0,54.0,35.0,6.0,5,48.0,8.0,14.0
Atalanta,19.0,51.0,32.0,5.0,6,47.0,9.0,14.0
Napoli,11.0,43.0,32.0,8.0,7,44.0,8.0,12.0
Fiorentina,9.0,41.0,32.0,7.0,8,43.0,9.0,12.0
Lazio,2.0,33.0,31.0,4.0,9,40.0,12.0,12.0
Monza,-5.0,31.0,36.0,9.0,10,39.0,9.0,10.0
Torino,0.0,26.0,26.0,11.0,11,38.0,8.0,9.0
Genoa,-5.0,31.0,36.0,9.0,12,33.0,11.0,8.0
Udinese,-14.0,28.0,42.0,15.0,13,27.0,9.0,4.0
Verona,-11.0,25.0,36.0,8.0,14,26.0,14.0,6.0
Cagliari,-20.0,29.0,49.0,8.0,15,26.0,14.0,6.0
Lecce,-20.0,25.0,45.0,10.0,16,25.0,13.0,5.0
Empoli,-20.0,22.0,42.0,7.0,17,25.0,15.0,6.0
Frosinone,-22.0,35.0,57.0,6.0,18,24.0,16.0,6.0
Sassuolo,-22.0,33.0,55.0,5.0,19,23.0,17.0,6.0
Salernitana,-35.0,23.0,58.0,8.0,20,14.0,18.0,2.0
