squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,13.0,14.0,1.0,0.0,1,15.0,0.0,5.0
Milan,3.0,10.0,7.0,0.0,2,12.0,1.0,4.0
Lecce,4.0,8.0,4.0,2.0,3,11.0,0.0,3.0
Juventus,5.0,11.0,6.0,1.0,4,10.0,1.0,3.0
Fiorentina,2.0,11.0,9.0,1.0,5,10.0,1.0,3.0
Atalanta,5.0,10.0,5.0,0.0,6,9.0,2.0,3.0
Napoli,3.0,8.0,5.0,2.0,7,8.0,1.0,2.0
Frosinone,1.0,8.0,7.0,2.0,8,8.0,1.0,2.0
Torino,1.0,6.0,5.0,2.0,9,8.0,1.0,2.0
Verona,-1.0,4.0,5.0,1.0,10,7.0,2.0,2.0
Bologna,-1.0,3.0,4.0,3.0,11,6.0,1.0,1.0
Sassuolo,-2.0,9.0,11.0,0.0,12,6.0,3.0,2.0
Roma,5.0,12.0,7.0,2.0,13,5.0,2.0,1.0
Monza,-3.0,4.0,7.0,2.0,14,5.0,2.0,1.0
Lazio,-3.0,5.0,8.0,1.0,15,4.0,3.0,1.0
Genoa,-4.0,4.0,8.0,1.0,16,4.0,3.0,1.0
Salernitana,-5.0,4.0,9.0,3.0,17,3.0,2.0,0.0
Udinese,-5.0,1.0,6.0,3.0,18,3.0,2.0,0.0
Cagliari,-5.0,1.0,6.0,2.0,19,2.0,3.0,0.0
Empoli,-13.0,0.0,13.0,0.0,20,0.0,5.0,0.0
