,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,40.0,50.0,10.0,4.0,1,55.0,1.0,17.0
Juventus,23.0,36.0,13.0,5.0,2,53.0,1.0,16.0
Milan,18.0,43.0,25.0,4.0,3,46.0,4.0,14.0
Atalanta,16.0,37.0,21.0,4.0,4,37.0,7.0,11.0
Roma,10.0,36.0,26.0,5.0,5,35.0,7.0,10.0
Fiorentina,7.0,29.0,22.0,5.0,6,35.0,7.0,10.0
Lazio,4.0,24.0,20.0,5.0,7,35.0,7.0,10.0
Bologna,5.0,25.0,20.0,10.0,8,34.0,4.0,8.0
Napoli,5.0,30.0,25.0,6.0,9,33.0,7.0,9.0
Torino,1.0,20.0,19.0,8.0,10,32.0,6.0,8.0
Genoa,-2.0,24.0,26.0,7.0,11,28.0,8.0,7.0
Monza,-7.0,21.0,28.0,7.0,12,28.0,8.0,7.0
Frosinone,-12.0,29.0,41.0,5.0,13,23.0,11.0,6.0
Lecce,-10.0,21.0,31.0,9.0,14,21.0,9.0,4.0
Sassuolo,-11.0,26.0,37.0,5.0,15,20.0,12.0,5.0
Verona,-10.0,20.0,30.0,6.0,16,18.0,12.0,4.0
Udinese,-14.0,23.0,37.0,12.0,17,18.0,8.0,2.0
Cagliari,-17.0,21.0,38.0,6.0,18,18.0,12.0,4.0
Empoli,-21.0,15.0,36.0,5.0,19,17.0,13.0,4.0
Salernitana,-25.0,19.0,44.0,6.0,20,12.0,14.0,2.0
