squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,21.0,27.0,6.0,1.0,1,28.0,1.0,9.0
Juventus,11.0,17.0,6.0,2.0,2,26.0,1.0,8.0
Milan,6.0,18.0,12.0,1.0,3,22.0,3.0,7.0
Napoli,12.0,24.0,12.0,3.0,4,21.0,2.0,6.0
Atalanta,9.0,19.0,10.0,1.0,5,19.0,4.0,6.0
Bologna,4.0,12.0,8.0,6.0,6,18.0,1.0,4.0
Roma,8.0,22.0,14.0,2.0,7,17.0,4.0,5.0
Fiorentina,3.0,18.0,15.0,2.0,8,17.0,4.0,5.0
Monza,2.0,12.0,10.0,4.0,9,16.0,3.0,4.0
Lazio,0.0,13.0,13.0,1.0,10,16.0,5.0,5.0
Frosinone,-1.0,17.0,18.0,3.0,11,15.0,4.0,4.0
Torino,-4.0,9.0,13.0,3.0,12,15.0,4.0,4.0
Lecce,-3.0,11.0,14.0,4.0,13,13.0,4.0,3.0
Genoa,-4.0,12.0,16.0,2.0,14,11.0,6.0,3.0
Sassuolo,-5.0,14.0,19.0,2.0,15,11.0,6.0,3.0
Udinese,-7.0,7.0,14.0,7.0,16,10.0,3.0,1.0
Cagliari,-11.0,11.0,22.0,3.0,17,9.0,6.0,2.0
Verona,-8.0,7.0,15.0,2.0,18,8.0,7.0,2.0
Empoli,-17.0,4.0,21.0,1.0,19,7.0,8.0,2.0
Salernitana,-16.0,6.0,22.0,4.0,20,4.0,7.0,0.0
