squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,12.0,13.0,1.0,0.0,1,12.0,0.0,4.0
Juventus,7.0,9.0,2.0,1.0,2,10.0,0.0,3.0
Milan,2.0,9.0,7.0,0.0,3,9.0,1.0,3.0
Lecce,3.0,7.0,4.0,2.0,4,8.0,0.0,2.0
Napoli,3.0,8.0,5.0,1.0,5,7.0,1.0,2.0
Frosinone,1.0,7.0,6.0,1.0,6,7.0,1.0,2.0
Torino,1.0,5.0,4.0,1.0,7,7.0,1.0,2.0
Fiorentina,0.0,9.0,9.0,1.0,8,7.0,1.0,2.0
Verona,0.0,4.0,4.0,1.0,9,7.0,1.0,2.0
Atalanta,3.0,8.0,5.0,0.0,10,6.0,2.0,2.0
Bologna,-1.0,3.0,4.0,2.0,11,5.0,1.0,1.0
Roma,5.0,11.0,6.0,1.0,12,4.0,2.0,1.0
Genoa,-3.0,4.0,7.0,1.0,13,4.0,2.0,1.0
Monza,-3.0,3.0,6.0,1.0,14,4.0,2.0,1.0
Lazio,-3.0,4.0,7.0,0.0,15,3.0,3.0,1.0
Udinese,-3.0,1.0,4.0,3.0,16,3.0,1.0,0.0
Sassuolo,-4.0,5.0,9.0,0.0,17,3.0,3.0,1.0
Cagliari,-3.0,1.0,4.0,2.0,18,2.0,2.0,0.0
Salernitana,-5.0,3.0,8.0,2.0,19,2.0,2.0,0.0
Empoli,-12.0,0.0,12.0,0.0,20,0.0,4.0,0.0
