,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,26.0,33.0,7.0,2.0,1,35.0,1.0,11.0
Juventus,13.0,22.0,9.0,3.0,2,33.0,1.0,10.0
Milan,9.0,24.0,15.0,2.0,3,29.0,3.0,9.0
Roma,11.0,27.0,16.0,3.0,4,24.0,4.0,7.0
Napoli,9.0,26.0,17.0,3.0,5,24.0,4.0,7.0
Fiorentina,6.0,23.0,17.0,2.0,6,23.0,5.0,7.0
Bologna,5.0,16.0,11.0,7.0,7,22.0,2.0,5.0
Atalanta,5.0,21.0,16.0,2.0,8,20.0,6.0,6.0
Lazio,0.0,15.0,15.0,2.0,9,20.0,6.0,6.0
Torino,-3.0,13.0,16.0,4.0,10,19.0,5.0,5.0
Monza,1.0,15.0,14.0,6.0,11,18.0,4.0,4.0
Frosinone,-4.0,20.0,24.0,3.0,12,18.0,6.0,5.0
Lecce,-3.0,16.0,19.0,7.0,13,16.0,4.0,3.0
Genoa,-4.0,15.0,19.0,3.0,14,15.0,7.0,4.0
Sassuolo,-5.0,21.0,26.0,3.0,15,15.0,7.0,4.0
Udinese,-9.0,12.0,21.0,9.0,16,12.0,4.0,1.0
Empoli,-17.0,9.0,26.0,2.0,17,11.0,9.0,3.0
Verona,-9.0,12.0,21.0,4.0,18,10.0,8.0,2.0
Cagliari,-13.0,13.0,26.0,4.0,19,10.0,8.0,2.0
Salernitana,-18.0,10.0,28.0,5.0,20,8.0,8.0,1.0
