squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,12.0,15.0,3.0,0.0,1,15.0,1.0,5.0
Milan,5.0,13.0,8.0,0.0,2,15.0,1.0,5.0
Juventus,6.0,12.0,6.0,1.0,3,13.0,1.0,4.0
Atalanta,6.0,11.0,5.0,0.0,4,12.0,2.0,4.0
Napoli,6.0,12.0,6.0,2.0,5,11.0,1.0,3.0
Lecce,3.0,8.0,5.0,2.0,6,11.0,1.0,3.0
Fiorentina,2.0,12.0,10.0,2.0,7,11.0,1.0,3.0
Frosinone,1.0,9.0,8.0,3.0,8,9.0,1.0,2.0
Sassuolo,-1.0,11.0,12.0,0.0,9,9.0,3.0,3.0
Torino,-1.0,6.0,7.0,2.0,10,8.0,2.0,2.0
Genoa,-1.0,8.0,9.0,1.0,11,7.0,3.0,2.0
Lazio,-1.0,7.0,8.0,1.0,12,7.0,3.0,2.0
Bologna,-1.0,3.0,4.0,4.0,13,7.0,1.0,1.0
Verona,-2.0,4.0,6.0,1.0,14,7.0,3.0,2.0
Monza,-3.0,4.0,7.0,3.0,15,6.0,2.0,1.0
Roma,2.0,13.0,11.0,2.0,16,5.0,3.0,1.0
Salernitana,-6.0,4.0,10.0,3.0,17,3.0,3.0,0.0
Udinese,-8.0,2.0,10.0,3.0,18,3.0,3.0,0.0
Empoli,-12.0,1.0,13.0,0.0,19,3.0,5.0,1.0
Cagliari,-7.0,2.0,9.0,2.0,20,2.0,4.0,0.0
