squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,61.0,79.0,18.0,5.0,1,86.0,1.0,27.0
Milan,25.0,64.0,39.0,6.0,2,69.0,6.0,21.0
Juventus,21.0,47.0,26.0,10.0,3,64.0,5.0,18.0
Bologna,22.0,48.0,26.0,11.0,4,62.0,5.0,17.0
Roma,20.0,59.0,39.0,7.0,5,58.0,9.0,17.0
Atalanta,22.0,59.0,37.0,7.0,6,55.0,10.0,16.0
Lazio,7.0,42.0,35.0,4.0,7,52.0,13.0,16.0
Napoli,9.0,50.0,41.0,10.0,8,49.0,10.0,13.0
Fiorentina,9.0,45.0,36.0,9.0,9,48.0,11.0,13.0
Torino,2.0,31.0,29.0,13.0,10,46.0,9.0,11.0
Monza,-8.0,35.0,43.0,10.0,11,43.0,12.0,11.0
Genoa,-5.0,35.0,40.0,12.0,12,39.0,12.0,9.0
Lecce,-18.0,30.0,48.0,11.0,13,35.0,14.0,8.0
Cagliari,-20.0,36.0,56.0,11.0,14,32.0,15.0,7.0
Verona,-13.0,31.0,44.0,10.0,15,31.0,16.0,7.0
Empoli,-22.0,26.0,48.0,7.0,16,31.0,18.0,8.0
Udinese,-19.0,31.0,50.0,16.0,17,28.0,13.0,4.0
Frosinone,-23.0,40.0,63.0,10.0,18,28.0,17.0,6.0
Sassuolo,-26.0,39.0,65.0,8.0,19,26.0,19.0,6.0
Salernitana,-44.0,26.0,70.0,9.0,20,15.0,22.0,2.0
