squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,63.0,81.0,18.0,5.0,1,89.0,1.0,28.0
Milan,25.0,64.0,39.0,7.0,2,70.0,6.0,21.0
Juventus,21.0,47.0,26.0,11.0,3,65.0,5.0,18.0
Bologna,22.0,49.0,27.0,12.0,4,63.0,5.0,17.0
Roma,20.0,61.0,41.0,8.0,5,59.0,9.0,17.0
Atalanta,24.0,61.0,37.0,7.0,6,58.0,10.0,17.0
Lazio,8.0,43.0,35.0,4.0,7,55.0,13.0,17.0
Fiorentina,13.0,50.0,37.0,9.0,8,51.0,11.0,14.0
Napoli,9.0,52.0,43.0,11.0,9,50.0,10.0,13.0
Torino,0.0,31.0,31.0,13.0,10,46.0,10.0,11.0
Monza,-8.0,36.0,44.0,11.0,11,44.0,12.0,11.0
Genoa,-2.0,38.0,40.0,12.0,12,42.0,12.0,10.0
Lecce,-18.0,31.0,49.0,12.0,13,36.0,14.0,8.0
Cagliari,-23.0,36.0,59.0,11.0,14,32.0,16.0,7.0
Verona,-14.0,31.0,45.0,10.0,15,31.0,17.0,7.0
Frosinone,-20.0,43.0,63.0,10.0,16,31.0,17.0,7.0
Empoli,-24.0,26.0,50.0,7.0,17,31.0,19.0,8.0
Udinese,-19.0,32.0,51.0,17.0,18,29.0,13.0,4.0
Sassuolo,-30.0,40.0,70.0,8.0,19,26.0,20.0,6.0
Salernitana,-47.0,26.0,73.0,9.0,20,15.0,23.0,2.0
