,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,23.0,29.0,6.0,1.0,1,31.0,1.0,10.0
Juventus,12.0,19.0,7.0,2.0,2,29.0,1.0,9.0
Milan,6.0,20.0,14.0,2.0,3,23.0,3.0,7.0
Napoli,11.0,24.0,13.0,3.0,4,21.0,3.0,6.0
Atalanta,9.0,20.0,11.0,2.0,5,20.0,4.0,6.0
Fiorentina,4.0,20.0,16.0,2.0,6,20.0,4.0,6.0
Roma,8.0,22.0,14.0,3.0,7,18.0,4.0,5.0
Bologna,3.0,13.0,10.0,6.0,8,18.0,2.0,4.0
Monza,2.0,13.0,11.0,5.0,9,17.0,3.0,4.0
Lazio,0.0,13.0,13.0,2.0,10,17.0,5.0,5.0
Torino,-4.0,10.0,14.0,4.0,11,16.0,4.0,4.0
Frosinone,-3.0,17.0,20.0,3.0,12,15.0,5.0,4.0
Genoa,-3.0,13.0,16.0,2.0,13,14.0,6.0,4.0
Lecce,-3.0,13.0,16.0,5.0,14,14.0,4.0,3.0
Sassuolo,-5.0,16.0,21.0,3.0,15,12.0,6.0,3.0
Udinese,-7.0,8.0,15.0,8.0,16,11.0,3.0,1.0
Empoli,-16.0,5.0,21.0,1.0,17,10.0,8.0,3.0
Cagliari,-12.0,12.0,24.0,3.0,18,9.0,7.0,2.0
Verona,-9.0,7.0,16.0,2.0,19,8.0,8.0,2.0
Salernitana,-16.0,8.0,24.0,5.0,20,5.0,7.0,0.0
