,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,23.0,30.0,7.0,2.0,1,32.0,1.0,10.0
Juventus,12.0,20.0,8.0,3.0,2,30.0,1.0,9.0
Milan,7.0,21.0,14.0,2.0,3,26.0,3.0,8.0
Napoli,12.0,26.0,14.0,3.0,4,24.0,3.0,7.0
Roma,10.0,25.0,15.0,3.0,5,21.0,4.0,6.0
Bologna,5.0,15.0,10.0,6.0,6,21.0,2.0,5.0
Atalanta,8.0,21.0,13.0,2.0,7,20.0,5.0,6.0
Fiorentina,3.0,20.0,17.0,2.0,8,20.0,5.0,6.0
Monza,2.0,14.0,12.0,6.0,9,18.0,3.0,4.0
Frosinone,-2.0,19.0,21.0,3.0,10,18.0,5.0,5.0
Lazio,-1.0,14.0,15.0,2.0,11,17.0,6.0,5.0
Torino,-6.0,10.0,16.0,4.0,12,16.0,5.0,4.0
Lecce,-3.0,15.0,18.0,6.0,13,15.0,4.0,3.0
Sassuolo,-4.0,20.0,24.0,3.0,14,15.0,6.0,4.0
Genoa,-4.0,14.0,18.0,2.0,15,14.0,7.0,4.0
Udinese,-9.0,9.0,18.0,8.0,16,11.0,4.0,1.0
Cagliari,-12.0,13.0,25.0,4.0,17,10.0,7.0,2.0
Empoli,-17.0,8.0,25.0,1.0,18,10.0,9.0,3.0
Verona,-9.0,9.0,18.0,3.0,19,9.0,8.0,2.0
Salernitana,-15.0,10.0,25.0,5.0,20,8.0,7.0,1.0
