,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,35.0,44.0,9.0,3.0,1,48.0,1.0,15.0
Juventus,17.0,29.0,12.0,4.0,2,46.0,1.0,14.0
Milan,15.0,35.0,20.0,3.0,3,39.0,4.0,12.0
Fiorentina,8.0,27.0,19.0,3.0,4,33.0,6.0,10.0
Bologna,6.0,22.0,16.0,8.0,5,32.0,3.0,8.0
Atalanta,9.0,30.0,21.0,3.0,6,30.0,7.0,9.0
Lazio,3.0,23.0,20.0,3.0,7,30.0,7.0,9.0
Roma,10.0,31.0,21.0,5.0,8,29.0,6.0,8.0
Napoli,4.0,28.0,24.0,4.0,9,28.0,7.0,8.0
Torino,0.0,18.0,18.0,6.0,10,27.0,6.0,7.0
Monza,-1.0,19.0,20.0,7.0,11,25.0,6.0,6.0
Genoa,-4.0,20.0,24.0,6.0,12,21.0,8.0,5.0
Lecce,-5.0,20.0,25.0,9.0,13,21.0,6.0,4.0
Sassuolo,-7.0,26.0,33.0,4.0,14,19.0,10.0,5.0
Frosinone,-9.0,25.0,34.0,4.0,15,19.0,10.0,5.0
Udinese,-11.0,19.0,30.0,11.0,16,17.0,6.0,2.0
Cagliari,-15.0,17.0,32.0,6.0,17,15.0,10.0,3.0
Verona,-10.0,16.0,26.0,5.0,18,14.0,11.0,3.0
Empoli,-23.0,10.0,33.0,4.0,19,13.0,12.0,3.0
Salernitana,-22.0,16.0,38.0,6.0,20,12.0,11.0,2.0
