squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,67.0,86.0,19.0,5.0,1,92.0,2.0,29.0
Milan,29.0,72.0,43.0,8.0,2,74.0,6.0,22.0
Bologna,24.0,51.0,27.0,13.0,3,67.0,5.0,18.0
Juventus,21.0,49.0,28.0,13.0,4,67.0,5.0,18.0
Atalanta,26.0,65.0,39.0,7.0,5,64.0,10.0,19.0
Roma,19.0,63.0,44.0,9.0,6,60.0,10.0,17.0
Lazio,10.0,47.0,37.0,5.0,7,59.0,13.0,18.0
Fiorentina,13.0,53.0,40.0,9.0,8,54.0,12.0,15.0
Napoli,7.0,53.0,46.0,12.0,9,51.0,11.0,13.0
Torino,1.0,33.0,32.0,14.0,10,50.0,10.0,12.0
Genoa,-1.0,43.0,44.0,13.0,11,46.0,12.0,11.0
Monza,-9.0,39.0,48.0,12.0,12,45.0,13.0,11.0
Lecce,-20.0,32.0,52.0,13.0,13,37.0,15.0,8.0
Verona,-14.0,34.0,48.0,10.0,14,34.0,18.0,8.0
Udinese,-17.0,35.0,52.0,18.0,15,33.0,13.0,5.0
Cagliari,-27.0,38.0,65.0,12.0,16,33.0,17.0,7.0
Frosinone,-25.0,43.0,68.0,11.0,17,32.0,18.0,7.0
Empoli,-26.0,26.0,52.0,8.0,18,32.0,20.0,8.0
Sassuolo,-30.0,42.0,72.0,8.0,19,29.0,21.0,7.0
Salernitana,-48.0,28.0,76.0,10.0,20,16.0,24.0,2.0
