squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,30.0,37.0,7.0,2.0,1,38.0,1.0,12.0
Juventus,14.0,23.0,9.0,3.0,2,36.0,1.0,11.0
Milan,8.0,26.0,18.0,2.0,3,29.0,4.0,9.0
Roma,11.0,28.0,17.0,4.0,4,25.0,4.0,7.0
Bologna,6.0,18.0,12.0,7.0,5,25.0,2.0,6.0
Napoli,8.0,26.0,18.0,3.0,6,24.0,5.0,7.0
Fiorentina,6.0,24.0,18.0,3.0,7,24.0,5.0,7.0
Atalanta,6.0,24.0,18.0,2.0,8,23.0,6.0,7.0
Monza,2.0,16.0,14.0,6.0,9,21.0,4.0,5.0
Lazio,0.0,16.0,16.0,3.0,10,21.0,6.0,6.0
Torino,-3.0,13.0,16.0,5.0,11,20.0,5.0,5.0
Frosinone,-4.0,20.0,24.0,4.0,12,19.0,6.0,5.0
Lecce,-3.0,17.0,20.0,8.0,13,17.0,4.0,3.0
Genoa,-5.0,15.0,20.0,3.0,14,15.0,8.0,4.0
Sassuolo,-6.0,22.0,28.0,3.0,15,15.0,8.0,4.0
Cagliari,-12.0,15.0,27.0,4.0,16,13.0,8.0,3.0
Udinese,-13.0,12.0,25.0,9.0,17,12.0,5.0,1.0
Empoli,-17.0,10.0,27.0,3.0,18,12.0,9.0,3.0
Verona,-9.0,13.0,22.0,5.0,19,11.0,8.0,2.0
Salernitana,-19.0,11.0,30.0,5.0,20,8.0,9.0,1.0
