,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,8.0,16.0,8.0,0.0,1,21.0,1.0,7.0
Inter,16.0,21.0,5.0,1.0,2,19.0,1.0,6.0
Juventus,8.0,14.0,6.0,2.0,3,17.0,1.0,5.0
Fiorentina,7.0,18.0,11.0,2.0,4,17.0,1.0,5.0
Napoli,8.0,17.0,9.0,2.0,5,14.0,2.0,4.0
Atalanta,5.0,13.0,8.0,1.0,6,13.0,3.0,4.0
Monza,1.0,8.0,7.0,3.0,7,12.0,2.0,3.0
Frosinone,0.0,11.0,11.0,3.0,8,12.0,2.0,3.0
Lecce,-1.0,9.0,10.0,3.0,9,12.0,2.0,3.0
Roma,7.0,19.0,12.0,2.0,10,11.0,3.0,3.0
Bologna,2.0,8.0,6.0,5.0,11,11.0,1.0,2.0
Sassuolo,-2.0,12.0,14.0,1.0,12,10.0,4.0,3.0
Lazio,-2.0,10.0,12.0,1.0,13,10.0,4.0,3.0
Torino,-3.0,6.0,9.0,3.0,14,9.0,3.0,2.0
Genoa,-2.0,10.0,12.0,2.0,15,8.0,4.0,2.0
Verona,-3.0,5.0,8.0,2.0,16,8.0,4.0,2.0
Udinese,-8.0,4.0,12.0,5.0,17,5.0,3.0,0.0
Empoli,-15.0,1.0,16.0,1.0,18,4.0,6.0,1.0
Salernitana,-13.0,4.0,17.0,3.0,19,3.0,5.0,0.0
Cagliari,-13.0,3.0,16.0,2.0,20,2.0,6.0,0.0
