squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,43.0,53.0,10.0,3.0,1,54.0,1.0,17.0
Juventus,23.0,35.0,12.0,4.0,2,52.0,1.0,16.0
Milan,18.0,41.0,23.0,3.0,3,45.0,4.0,14.0
Lazio,6.0,26.0,20.0,3.0,4,36.0,7.0,11.0
Bologna,7.0,25.0,18.0,8.0,5,35.0,4.0,9.0
Napoli,10.0,36.0,26.0,4.0,6,34.0,7.0,10.0
Fiorentina,6.0,29.0,23.0,4.0,7,34.0,7.0,10.0
Atalanta,10.0,35.0,25.0,3.0,8,33.0,8.0,10.0
Roma,9.0,34.0,25.0,5.0,9,32.0,7.0,9.0
Torino,-2.0,18.0,20.0,7.0,10,28.0,7.0,7.0
Genoa,-3.0,22.0,25.0,7.0,11,25.0,8.0,6.0
Monza,-8.0,20.0,28.0,7.0,12,25.0,8.0,6.0
Frosinone,-12.0,28.0,40.0,4.0,13,22.0,11.0,6.0
Lecce,-9.0,20.0,29.0,9.0,14,21.0,8.0,4.0
Sassuolo,-15.0,27.0,42.0,4.0,15,19.0,12.0,5.0
Udinese,-12.0,23.0,35.0,12.0,16,18.0,7.0,2.0
Cagliari,-16.0,20.0,36.0,6.0,17,18.0,11.0,4.0
Verona,-10.0,19.0,29.0,5.0,18,17.0,12.0,4.0
Empoli,-21.0,14.0,35.0,4.0,19,16.0,13.0,4.0
Salernitana,-24.0,18.0,42.0,6.0,20,12.0,13.0,2.0
