squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,51.0,63.0,12.0,3.0,1,66.0,1.0,21.0
Juventus,21.0,38.0,17.0,6.0,2,54.0,3.0,16.0
Milan,18.0,49.0,31.0,4.0,3,52.0,5.0,16.0
Atalanta,20.0,47.0,27.0,3.0,4,45.0,8.0,14.0
Bologna,14.0,37.0,23.0,9.0,5,45.0,4.0,12.0
Roma,15.0,45.0,30.0,5.0,6,41.0,8.0,12.0
Lazio,5.0,31.0,26.0,4.0,7,40.0,9.0,12.0
Napoli,10.0,39.0,29.0,6.0,8,39.0,8.0,11.0
Fiorentina,8.0,37.0,29.0,5.0,9,38.0,9.0,11.0
Torino,1.0,23.0,22.0,9.0,10,36.0,7.0,9.0
Monza,-5.0,25.0,30.0,9.0,11,33.0,8.0,8.0
Genoa,-5.0,26.0,31.0,9.0,12,30.0,9.0,7.0
Lecce,-15.0,24.0,39.0,9.0,13,24.0,11.0,5.0
Udinese,-13.0,25.0,38.0,14.0,14,23.0,8.0,3.0
Frosinone,-20.0,32.0,52.0,5.0,15,23.0,14.0,6.0
Empoli,-19.0,19.0,38.0,7.0,16,22.0,13.0,5.0
Verona,-11.0,23.0,34.0,8.0,17,20.0,13.0,4.0
Sassuolo,-21.0,30.0,51.0,5.0,18,20.0,15.0,5.0
Cagliari,-23.0,23.0,46.0,7.0,19,19.0,14.0,4.0
Salernitana,-31.0,20.0,51.0,7.0,20,13.0,16.0,2.0
