squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,57.0,71.0,14.0,4.0,1,76.0,1.0,24.0
Milan,22.0,55.0,33.0,5.0,2,62.0,5.0,19.0
Juventus,21.0,44.0,23.0,8.0,3,59.0,4.0,17.0
Bologna,17.0,42.0,25.0,9.0,4,54.0,5.0,15.0
Roma,20.0,55.0,35.0,6.0,5,51.0,8.0,15.0
Atalanta,19.0,51.0,32.0,6.0,6,48.0,9.0,14.0
Napoli,11.0,44.0,33.0,9.0,7,45.0,8.0,12.0
Fiorentina,9.0,41.0,32.0,8.0,8,44.0,9.0,12.0
Lazio,3.0,36.0,33.0,4.0,9,43.0,12.0,13.0
Monza,-4.0,32.0,36.0,9.0,10,42.0,9.0,11.0
Torino,2.0,28.0,26.0,11.0,11,41.0,8.0,10.0
Genoa,-5.0,31.0,36.0,10.0,12,34.0,11.0,8.0
Lecce,-19.0,26.0,45.0,10.0,13,28.0,13.0,6.0
Udinese,-16.0,28.0,44.0,15.0,14,27.0,10.0,4.0
Verona,-13.0,26.0,39.0,8.0,15,26.0,15.0,6.0
Cagliari,-21.0,29.0,50.0,8.0,16,26.0,15.0,6.0
Empoli,-21.0,22.0,43.0,7.0,17,25.0,16.0,6.0
Frosinone,-23.0,37.0,60.0,6.0,18,24.0,17.0,6.0
Sassuolo,-23.0,33.0,56.0,5.0,19,23.0,18.0,6.0
Salernitana,-36.0,23.0,59.0,8.0,20,14.0,19.0,2.0
