squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,59.0,73.0,14.0,4.0,1,79.0,1.0,25.0
Milan,23.0,57.0,34.0,5.0,2,65.0,5.0,20.0
Juventus,20.0,44.0,24.0,8.0,3,59.0,5.0,17.0
Bologna,20.0,45.0,25.0,9.0,4,57.0,5.0,16.0
Roma,20.0,55.0,35.0,7.0,5,52.0,8.0,15.0
Atalanta,22.0,54.0,32.0,6.0,6,51.0,9.0,15.0
Lazio,4.0,37.0,33.0,4.0,7,46.0,12.0,14.0
Napoli,8.0,44.0,36.0,9.0,8,45.0,9.0,12.0
Fiorentina,8.0,42.0,34.0,8.0,9,44.0,10.0,12.0
Torino,3.0,29.0,26.0,11.0,10,44.0,8.0,11.0
Monza,-5.0,32.0,37.0,9.0,11,42.0,10.0,11.0
Genoa,-5.0,32.0,37.0,11.0,12,35.0,11.0,8.0
Lecce,-19.0,26.0,45.0,11.0,13,29.0,13.0,6.0
Udinese,-16.0,29.0,45.0,16.0,14,28.0,10.0,4.0
Verona,-13.0,27.0,40.0,9.0,15,27.0,15.0,6.0
Cagliari,-21.0,30.0,51.0,9.0,16,27.0,15.0,6.0
Frosinone,-23.0,38.0,61.0,7.0,17,25.0,17.0,6.0
Empoli,-23.0,22.0,45.0,7.0,18,25.0,17.0,6.0
Sassuolo,-23.0,34.0,57.0,6.0,19,24.0,18.0,6.0
Salernitana,-39.0,23.0,62.0,8.0,20,14.0,20.0,2.0
