Partita,GG,NG
Salernitana-Lazio,0.7723460770041501,0.22765392299584986
Atalanta-Napoli,0.44550352097692936,0.5544964790230706
Milan-Fiorentina,0.48761440404404344,0.5123855959559566
Cagliari-Monza,0.8010234243151176,0.19897657568488236
Empoli-Sassuolo,0.42774316376036847,0.5722568362396315
Frosinone-Genoa,0.6442449084864018,0.3557550915135982
Roma-Udinese,0.47216239492346557,0.5278376050765344
Juventus-Inter,0.1375494922431998,0.8624505077568002
Verona-Lecce,0.38510273952152074,0.6148972604784793
Bologna-Torino,0.279892005388787,0.720107994611213
