Partita,O,U
Salernitana-Lazio,0.4591597219003368,0.5408402780996632
Atalanta-Napoli,0.5570595066786677,0.4429404933213324
Milan-Fiorentina,0.5334242059710164,0.4665757940289837
Cagliari-Monza,0.2823371467374819,0.7176628532625181
Empoli-Sassuolo,0.3781619912399342,0.6218380087600658
Frosinone-Genoa,0.8064649843852704,0.19353501561472963
Roma-Udinese,0.565925714519901,0.43407428548009896
Juventus-Inter,0.3478517294609872,0.6521482705390128
Verona-Lecce,0.31372271549247843,0.6862772845075216
Bologna-Torino,0.21104066370084973,0.7889593362991503
