,squadra,esito
0,Verona,vittoria
1,Salernitana,vittoria
2,Lazio,sconfitta
3,Sampdoria,pareggio
4,Empoli,sconfitta
5,Udinese,vittoria
6,Monza,vittoria
7,Milan,vittoria
8,Juventus,sconfitta
9,Atalanta,vittoria
10,Bologna,sconfitta
11,Sassuolo,sconfitta
12,Torino,vittoria
13,Spezia,pareggio
14,Inter,vittoria
15,Cremonese,sconfitta
16,Fiorentina,sconfitta
17,Lecce,sconfitta
18,Napoli,vittoria
19,Roma,sconfitta
