,squadra,esito
0,Lazio,pareggio
1,Salernitana,vittoria
2,Spezia,vittoria
3,Inter,vittoria
4,Verona,sconfitta
5,Fiorentina,vittoria
6,Monza,vittoria
7,Bologna,pareggio
8,Juventus,vittoria
9,Sampdoria,pareggio
10,Lecce,pareggio
11,Atalanta,sconfitta
12,Milan,sconfitta
13,Sassuolo,sconfitta
14,Torino,vittoria
15,Udinese,sconfitta
16,Napoli,sconfitta
17,Roma,pareggio
18,Cremonese,sconfitta
19,Empoli,pareggio
