,squadra,esito
0,Sampdoria,pareggio
1,Salernitana,vittoria
2,Spezia,sconfitta
3,Fiorentina,vittoria
4,Inter,vittoria
5,Verona,pareggio
6,Bologna,pareggio
7,Monza,sconfitta
8,Lazio,vittoria
9,Juventus,sconfitta
10,Sassuolo,pareggio
11,Udinese,sconfitta
12,Torino,vittoria
13,Roma,sconfitta
14,Atalanta,sconfitta
15,Empoli,pareggio
16,Napoli,pareggio
17,Lecce,vittoria
18,Cremonese,sconfitta
19,Milan,vittoria
