,squadra,esito
0,Monza,sconfitta
1,Lazio,vittoria
2,Cremonese,sconfitta
3,Juventus,pareggio
4,Milan,vittoria
5,Spezia,pareggio
6,Verona,sconfitta
7,Salernitana,vittoria
8,Fiorentina,pareggio
9,Lecce,pareggio
10,Udinese,vittoria
11,Inter,sconfitta
12,Torino,vittoria
13,Roma,pareggio
14,Bologna,sconfitta
15,Sassuolo,pareggio
16,Atalanta,vittoria
17,Sampdoria,sconfitta
18,Napoli,pareggio
19,Empoli,pareggio
