,squadra,esito
0,Udinese,pareggio
1,Empoli,vittoria
2,Salernitana,pareggio
3,Atalanta,sconfitta
4,Milan,vittoria
5,Bologna,vittoria
6,Sampdoria,sconfitta
7,Monza,vittoria
8,Roma,sconfitta
9,Juventus,vittoria
10,Lecce,pareggio
11,Sassuolo,sconfitta
12,Cremonese,pareggio
13,Napoli,vittoria
14,Spezia,sconfitta
15,Torino,sconfitta
16,Fiorentina,vittoria
17,Verona,sconfitta
18,Lazio,vittoria
19,Inter,sconfitta
