Partita,O,U
Salernitana-Sassuolo,0.25,0.75
Milan-Lecce,0.22,0.78
Roma-Lazio,0.36,0.64
Empoli-Torino,0.39,0.61
Frosinone-Bologna,0.33,0.67
Monza-Napoli,0.37,0.63
Cagliari-Atalanta,0.26,0.74
Verona-Genoa,0.23,0.77
Juventus-Fiorentina,0.33,0.67
Udinese-Inter,0.29,0.71
