Partita,GG,NG
Salernitana-Sassuolo,0.5,0.5
Milan-Lecce,0.38,0.62
Roma-Lazio,0.38,0.62
Empoli-Torino,0.34,0.66
Frosinone-Bologna,0.3,0.7
Monza-Napoli,0.34,0.66
Cagliari-Atalanta,0.3,0.7
Verona-Genoa,0.42,0.58
Juventus-Fiorentina,0.42,0.58
Udinese-Inter,0.32,0.68
