,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Atalanta,8.0,13.0,5.0,0.0,1,9.0,0.0,3.0
Milan,7.0,7.0,0.0,0.0,2,9.0,0.0,3.0
Sassuolo,6.0,9.0,3.0,1.0,3,7.0,0.0,2.0
Inter,4.0,10.0,6.0,1.0,4,7.0,0.0,2.0
Juventus,4.0,7.0,3.0,1.0,5,7.0,0.0,2.0
Napoli,7.0,9.0,2.0,0.0,6,6.0,1.0,2.0
Verona,3.0,4.0,1.0,0.0,7,6.0,1.0,2.0
Benevento,-1.0,6.0,7.0,0.0,8,6.0,1.0,2.0
Lazio,-1.0,4.0,5.0,1.0,9,4.0,1.0,1.0
Roma,-2.0,3.0,5.0,1.0,10,4.0,1.0,1.0
Bologna,0.0,4.0,4.0,0.0,11,3.0,2.0,1.0
Fiorentina,-1.0,5.0,6.0,0.0,12,3.0,2.0,1.0
Torino,-2.0,4.0,6.0,0.0,13,3.0,2.0,1.0
Sampdoria,-3.0,4.0,7.0,0.0,14,3.0,2.0,1.0
Genoa,-4.0,5.0,9.0,0.0,15,3.0,2.0,1.0
Spezia,-4.0,3.0,7.0,0.0,16,3.0,2.0,1.0
Parma,-4.0,2.0,6.0,0.0,17,3.0,2.0,1.0
Cagliari,-5.0,3.0,8.0,1.0,18,1.0,2.0,0.0
Udinese,-4.0,0.0,4.0,0.0,19,0.0,3.0,0.0
Crotone,-8.0,2.0,10.0,0.0,20,0.0,3.0,0.0
