squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,18.0,37.0,19.0,4.0,1,40.0,1.0,12.0
Inter,20.0,43.0,23.0,4.0,2,37.0,2.0,11.0
Juventus,20.0,37.0,17.0,6.0,3,36.0,1.0,10.0
Roma,11.0,37.0,26.0,4.0,4,34.0,3.0,10.0
Atalanta,18.0,41.0,23.0,5.0,5,32.0,3.0,9.0
Napoli,17.0,35.0,18.0,1.0,6,31.0,6.0,10.0
Sassuolo,4.0,30.0,26.0,5.0,7,29.0,4.0,8.0
Lazio,2.0,27.0,25.0,4.0,8,28.0,5.0,8.0
Verona,6.0,22.0,16.0,6.0,9,27.0,4.0,7.0
Benevento,-10.0,20.0,30.0,3.0,10,21.0,8.0,6.0
Sampdoria,-2.0,26.0,28.0,2.0,11,20.0,9.0,6.0
Fiorentina,-5.0,18.0,23.0,6.0,12,18.0,7.0,4.0
Udinese,-7.0,19.0,26.0,5.0,13,17.0,8.0,4.0
Bologna,-8.0,23.0,31.0,5.0,14,17.0,8.0,4.0
Spezia,-9.0,23.0,32.0,5.0,15,17.0,8.0,4.0
Cagliari,-11.0,23.0,34.0,5.0,16,14.0,9.0,3.0
Genoa,-12.0,18.0,30.0,5.0,17,14.0,9.0,3.0
Torino,-9.0,26.0,35.0,6.0,18,12.0,9.0,2.0
Parma,-20.0,13.0,33.0,6.0,19,12.0,9.0,2.0
Crotone,-23.0,17.0,40.0,3.0,20,9.0,12.0,2.0
