,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,39.0,66.0,27.0,6.0,1,66.0,2.0,20.0
Milan,20.0,53.0,33.0,5.0,2,59.0,5.0,18.0
Juventus,32.0,56.0,24.0,7.0,3,58.0,4.0,17.0
Atalanta,32.0,65.0,33.0,8.0,4,56.0,4.0,16.0
Napoli,28.0,59.0,31.0,2.0,5,53.0,9.0,17.0
Roma,9.0,51.0,42.0,5.0,6,50.0,8.0,15.0
Lazio,6.0,43.0,37.0,5.0,7,50.0,8.0,15.0
Sassuolo,0.0,46.0,46.0,9.0,8,39.0,9.0,10.0
Verona,2.0,36.0,34.0,8.0,9,38.0,10.0,10.0
Sampdoria,-4.0,38.0,42.0,5.0,10,35.0,13.0,10.0
Bologna,-5.0,39.0,44.0,7.0,11,34.0,12.0,9.0
Udinese,-6.0,30.0,36.0,9.0,12,33.0,11.0,8.0
Genoa,-10.0,30.0,40.0,10.0,13,31.0,11.0,7.0
Fiorentina,-10.0,35.0,45.0,8.0,14,29.0,13.0,7.0
Spezia,-15.0,36.0,51.0,8.0,15,29.0,13.0,7.0
Benevento,-24.0,28.0,52.0,8.0,16,29.0,13.0,7.0
Torino,-11.0,39.0,50.0,12.0,17,24.0,12.0,4.0
Cagliari,-17.0,31.0,48.0,7.0,18,22.0,16.0,5.0
Parma,-28.0,26.0,54.0,10.0,19,19.0,15.0,3.0
Crotone,-38.0,32.0,70.0,3.0,20,15.0,21.0,4.0
