,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,11.0,19.0,8.0,2.0,1,20.0,0.0,6.0
Sassuolo,11.0,20.0,9.0,3.0,2,18.0,0.0,5.0
Roma,8.0,19.0,11.0,2.0,3,17.0,1.0,5.0
Juventus,9.0,16.0,7.0,4.0,4,16.0,0.0,4.0
Napoli,8.0,17.0,9.0,0.0,5,15.0,3.0,5.0
Inter,7.0,20.0,13.0,3.0,6,15.0,1.0,4.0
Atalanta,4.0,18.0,14.0,2.0,7,14.0,2.0,4.0
Lazio,0.0,13.0,13.0,2.0,8,14.0,2.0,4.0
Verona,3.0,10.0,7.0,3.0,9,12.0,2.0,3.0
Sampdoria,-1.0,12.0,13.0,1.0,10,10.0,4.0,3.0
Cagliari,-3.0,14.0,17.0,1.0,11,10.0,4.0,3.0
Bologna,-1.0,13.0,14.0,0.0,12,9.0,5.0,3.0
Spezia,-4.0,11.0,15.0,3.0,13,9.0,3.0,2.0
Benevento,-9.0,11.0,20.0,0.0,14,9.0,5.0,3.0
Fiorentina,-3.0,10.0,13.0,2.0,15,8.0,4.0,2.0
Udinese,-4.0,7.0,11.0,1.0,16,7.0,5.0,2.0
Parma,-8.0,8.0,16.0,3.0,17,6.0,4.0,1.0
Torino,-6.0,14.0,20.0,2.0,18,5.0,5.0,1.0
Genoa,-9.0,7.0,16.0,2.0,19,5.0,5.0,1.0
Crotone,-13.0,6.0,19.0,2.0,20,2.0,6.0,0.0
