,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,48.0,78.0,30.0,8.0,1,83.0,2.0,25.0
Atalanta,43.0,84.0,41.0,10.0,2,73.0,4.0,21.0
Milan,24.0,65.0,41.0,6.0,3,72.0,7.0,22.0
Napoli,39.0,78.0,39.0,4.0,4,70.0,9.0,22.0
Juventus,33.0,67.0,34.0,9.0,5,69.0,6.0,20.0
Lazio,9.0,60.0,51.0,5.0,6,65.0,10.0,20.0
Roma,10.0,63.0,53.0,7.0,7,58.0,11.0,17.0
Sassuolo,6.0,58.0,52.0,11.0,8,56.0,9.0,15.0
Sampdoria,-6.0,46.0,52.0,6.0,9,45.0,16.0,13.0
Verona,-1.0,42.0,43.0,10.0,10,43.0,14.0,11.0
Udinese,-7.0,40.0,47.0,10.0,11,40.0,15.0,10.0
Bologna,-9.0,45.0,54.0,10.0,12,40.0,15.0,10.0
Fiorentina,-10.0,44.0,54.0,11.0,13,38.0,15.0,9.0
Torino,-9.0,48.0,57.0,15.0,14,36.0,13.0,7.0
Genoa,-13.0,41.0,54.0,12.0,15,36.0,15.0,8.0
Cagliari,-15.0,43.0,58.0,8.0,16,35.0,18.0,9.0
Spezia,-23.0,44.0,67.0,10.0,17,34.0,17.0,8.0
Benevento,-33.0,38.0,71.0,10.0,18,31.0,18.0,7.0
Parma,-38.0,38.0,76.0,11.0,19,20.0,21.0,3.0
Crotone,-48.0,42.0,90.0,3.0,20,18.0,27.0,5.0
