squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,33.0,57.0,24.0,5.0,1,53.0,2.0,16.0
Milan,17.0,45.0,28.0,4.0,2,49.0,4.0,15.0
Juventus,26.0,46.0,20.0,6.0,3,48.0,3.0,14.0
Roma,12.0,47.0,35.0,5.0,4,44.0,5.0,13.0
Atalanta,22.0,53.0,31.0,7.0,5,43.0,4.0,12.0
Lazio,8.0,38.0,30.0,4.0,6,43.0,6.0,13.0
Napoli,21.0,48.0,27.0,1.0,7,40.0,9.0,13.0
Sassuolo,3.0,37.0,34.0,8.0,8,35.0,6.0,9.0
Verona,4.0,30.0,26.0,7.0,9,34.0,7.0,9.0
Sampdoria,-1.0,33.0,34.0,3.0,10,30.0,11.0,9.0
Genoa,-7.0,26.0,33.0,8.0,11,26.0,9.0,6.0
Bologna,-7.0,30.0,37.0,7.0,12,25.0,10.0,6.0
Udinese,-8.0,25.0,33.0,7.0,13,25.0,10.0,6.0
Fiorentina,-10.0,25.0,35.0,7.0,14,25.0,10.0,6.0
Benevento,-17.0,25.0,42.0,7.0,15,25.0,10.0,6.0
Spezia,-11.0,30.0,41.0,6.0,16,24.0,11.0,6.0
Torino,-8.0,33.0,41.0,11.0,17,20.0,9.0,3.0
Cagliari,-17.0,24.0,41.0,6.0,18,15.0,14.0,3.0
Parma,-28.0,17.0,45.0,8.0,19,14.0,13.0,2.0
Crotone,-32.0,23.0,55.0,3.0,20,12.0,17.0,3.0
