squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,16.0,32.0,16.0,4.0,1,34.0,0.0,10.0
Inter,17.0,34.0,17.0,3.0,2,33.0,1.0,10.0
Juventus,13.0,27.0,14.0,6.0,3,27.0,1.0,7.0
Roma,8.0,31.0,23.0,3.0,4,27.0,3.0,8.0
Sassuolo,9.0,26.0,17.0,5.0,5,26.0,2.0,7.0
Napoli,14.0,28.0,14.0,1.0,6,25.0,5.0,8.0
Atalanta,8.0,29.0,21.0,5.0,7,23.0,3.0,6.0
Lazio,-1.0,22.0,23.0,3.0,8,21.0,5.0,6.0
Verona,4.0,18.0,14.0,5.0,9,20.0,4.0,5.0
Benevento,-6.0,17.0,23.0,3.0,10,18.0,6.0,5.0
Sampdoria,-1.0,23.0,24.0,2.0,11,17.0,7.0,5.0
Udinese,-3.0,15.0,18.0,4.0,12,16.0,6.0,4.0
Bologna,-6.0,21.0,27.0,3.0,13,15.0,7.0,4.0
Fiorentina,-5.0,16.0,21.0,5.0,14,14.0,6.0,3.0
Cagliari,-6.0,21.0,27.0,5.0,15,14.0,6.0,3.0
Parma,-12.0,13.0,25.0,6.0,16,12.0,6.0,2.0
Spezia,-10.0,19.0,29.0,5.0,17,11.0,7.0,2.0
Genoa,-13.0,14.0,27.0,4.0,18,10.0,8.0,2.0
Crotone,-16.0,13.0,29.0,3.0,19,9.0,9.0,2.0
Torino,-10.0,22.0,32.0,5.0,20,8.0,8.0,1.0
