squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,9.0,16.0,7.0,2.0,1,17.0,0.0,5.0
Napoli,10.0,16.0,6.0,0.0,2,15.0,2.0,5.0
Sassuolo,9.0,18.0,9.0,3.0,3,15.0,0.0,4.0
Roma,5.0,16.0,11.0,2.0,4,14.0,1.0,4.0
Juventus,7.0,14.0,7.0,4.0,5,13.0,0.0,3.0
Atalanta,4.0,18.0,14.0,1.0,6,13.0,2.0,4.0
Inter,5.0,16.0,11.0,3.0,7,12.0,1.0,3.0
Verona,5.0,10.0,5.0,3.0,8,12.0,1.0,3.0
Lazio,-2.0,11.0,13.0,2.0,9,11.0,2.0,3.0
Sampdoria,0.0,11.0,11.0,1.0,10,10.0,3.0,3.0
Cagliari,-1.0,14.0,15.0,1.0,11,10.0,3.0,3.0
Fiorentina,-2.0,10.0,12.0,2.0,12,8.0,3.0,2.0
Spezia,-4.0,11.0,15.0,2.0,13,8.0,3.0,2.0
Bologna,-2.0,11.0,13.0,0.0,14,6.0,5.0,2.0
Parma,-5.0,8.0,13.0,3.0,15,6.0,3.0,1.0
Benevento,-10.0,10.0,20.0,0.0,16,6.0,5.0,2.0
Torino,-4.0,12.0,16.0,2.0,17,5.0,4.0,1.0
Genoa,-8.0,7.0,15.0,2.0,18,5.0,4.0,1.0
Udinese,-5.0,6.0,11.0,1.0,19,4.0,5.0,1.0
Crotone,-11.0,6.0,17.0,2.0,20,2.0,5.0,0.0
