,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,18.0,34.0,16.0,4.0,1,37.0,0.0,11.0
Inter,21.0,40.0,19.0,3.0,2,36.0,1.0,11.0
Juventus,16.0,31.0,15.0,6.0,3,30.0,1.0,8.0
Roma,9.0,32.0,23.0,3.0,4,30.0,3.0,9.0
Napoli,17.0,32.0,15.0,1.0,5,28.0,5.0,9.0
Atalanta,12.0,34.0,22.0,5.0,6,26.0,3.0,7.0
Sassuolo,5.0,27.0,22.0,5.0,7,26.0,3.0,7.0
Verona,5.0,19.0,14.0,5.0,8,23.0,4.0,6.0
Lazio,-1.0,23.0,24.0,4.0,9,22.0,5.0,6.0
Benevento,-8.0,17.0,25.0,3.0,10,18.0,7.0,5.0
Sampdoria,-2.0,23.0,25.0,2.0,11,17.0,8.0,5.0
Bologna,-6.0,21.0,27.0,4.0,12,16.0,7.0,4.0
Udinese,-6.0,16.0,22.0,4.0,13,16.0,7.0,4.0
Fiorentina,-5.0,16.0,21.0,6.0,14,15.0,6.0,3.0
Cagliari,-9.0,22.0,31.0,5.0,15,14.0,7.0,3.0
Parma,-15.0,13.0,28.0,6.0,16,12.0,7.0,2.0
Torino,-7.0,25.0,32.0,5.0,17,11.0,8.0,2.0
Spezia,-11.0,19.0,30.0,5.0,18,11.0,8.0,2.0
Genoa,-13.0,15.0,28.0,5.0,19,11.0,8.0,2.0
Crotone,-20.0,15.0,35.0,3.0,20,9.0,10.0,2.0
