,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,41.0,68.0,27.0,6.0,1,72.0,2.0,22.0
Milan,22.0,57.0,35.0,6.0,2,63.0,5.0,19.0
Atalanta,34.0,71.0,37.0,8.0,3,62.0,4.0,18.0
Juventus,34.0,61.0,27.0,8.0,4,62.0,4.0,18.0
Napoli,31.0,65.0,34.0,2.0,5,59.0,9.0,19.0
Lazio,8.0,46.0,38.0,5.0,6,56.0,8.0,17.0
Roma,10.0,54.0,44.0,6.0,7,54.0,8.0,16.0
Sassuolo,1.0,49.0,48.0,10.0,8,43.0,9.0,11.0
Verona,3.0,38.0,35.0,8.0,9,41.0,11.0,11.0
Sampdoria,-6.0,39.0,45.0,6.0,10,36.0,14.0,10.0
Bologna,-7.0,39.0,46.0,7.0,11,34.0,14.0,9.0
Udinese,-8.0,32.0,40.0,9.0,12,33.0,13.0,8.0
Genoa,-12.0,32.0,44.0,11.0,13,32.0,12.0,7.0
Spezia,-15.0,40.0,55.0,8.0,14,32.0,14.0,8.0
Fiorentina,-11.0,38.0,49.0,9.0,15,30.0,14.0,7.0
Benevento,-25.0,30.0,55.0,9.0,16,30.0,14.0,7.0
Torino,-10.0,42.0,52.0,13.0,17,28.0,12.0,5.0
Cagliari,-20.0,31.0,51.0,7.0,18,22.0,18.0,5.0
Parma,-30.0,29.0,59.0,11.0,19,20.0,16.0,3.0
Crotone,-40.0,37.0,77.0,3.0,20,15.0,23.0,4.0
