squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,30.0,54.0,24.0,5.0,1,50.0,2.0,15.0
Milan,20.0,45.0,25.0,4.0,2,49.0,3.0,15.0
Juventus,23.0,43.0,20.0,6.0,3,45.0,3.0,13.0
Roma,12.0,47.0,35.0,4.0,4,43.0,5.0,13.0
Napoli,23.0,46.0,23.0,1.0,5,40.0,8.0,13.0
Atalanta,20.0,49.0,29.0,7.0,6,40.0,4.0,11.0
Lazio,7.0,37.0,30.0,4.0,7,40.0,6.0,12.0
Sassuolo,3.0,36.0,33.0,7.0,8,34.0,6.0,9.0
Verona,4.0,28.0,24.0,6.0,9,33.0,7.0,9.0
Sampdoria,0.0,33.0,33.0,3.0,10,30.0,10.0,9.0
Genoa,-7.0,24.0,31.0,7.0,11,25.0,9.0,6.0
Bologna,-7.0,29.0,36.0,6.0,12,24.0,10.0,6.0
Spezia,-8.0,30.0,38.0,6.0,13,24.0,10.0,6.0
Udinese,-8.0,23.0,31.0,6.0,14,24.0,10.0,6.0
Benevento,-17.0,25.0,42.0,6.0,15,24.0,10.0,6.0
Fiorentina,-13.0,22.0,35.0,7.0,16,22.0,10.0,5.0
Torino,-9.0,32.0,41.0,11.0,17,17.0,9.0,2.0
Cagliari,-16.0,24.0,40.0,6.0,18,15.0,13.0,3.0
Parma,-28.0,15.0,43.0,7.0,19,13.0,13.0,2.0
Crotone,-29.0,23.0,52.0,3.0,20,12.0,16.0,3.0
