squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,14.0,25.0,11.0,3.0,1,27.0,0.0,8.0
Napoli,17.0,27.0,10.0,0.0,2,24.0,3.0,8.0
Inter,14.0,29.0,15.0,3.0,3,24.0,1.0,7.0
Juventus,12.0,22.0,10.0,5.0,4,23.0,0.0,6.0
Sassuolo,9.0,21.0,12.0,4.0,5,22.0,1.0,6.0
Roma,8.0,24.0,16.0,3.0,6,21.0,2.0,6.0
Verona,6.0,15.0,9.0,4.0,7,19.0,2.0,5.0
Atalanta,5.0,22.0,17.0,3.0,8,18.0,3.0,5.0
Lazio,-2.0,17.0,19.0,2.0,9,17.0,4.0,5.0
Udinese,-1.0,14.0,15.0,2.0,10,14.0,5.0,4.0
Cagliari,-5.0,18.0,23.0,3.0,11,12.0,5.0,3.0
Bologna,-6.0,16.0,22.0,0.0,12,12.0,7.0,4.0
Sampdoria,-3.0,16.0,19.0,2.0,13,11.0,6.0,3.0
Parma,-7.0,12.0,19.0,5.0,14,11.0,4.0,2.0
Benevento,-10.0,12.0,22.0,2.0,15,11.0,6.0,3.0
Spezia,-8.0,15.0,23.0,4.0,16,10.0,5.0,2.0
Fiorentina,-8.0,11.0,19.0,3.0,17,9.0,6.0,2.0
Torino,-8.0,19.0,27.0,3.0,18,6.0,7.0,1.0
Genoa,-12.0,10.0,22.0,3.0,19,6.0,7.0,1.0
Crotone,-15.0,10.0,25.0,2.0,20,5.0,8.0,1.0
