,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,49.0,83.0,34.0,8.0,1,86.0,3.0,26.0
Atalanta,46.0,90.0,44.0,10.0,2,79.0,4.0,23.0
Napoli,45.0,85.0,40.0,4.0,3,76.0,9.0,24.0
Milan,31.0,72.0,41.0,7.0,4,76.0,7.0,23.0
Juventus,36.0,73.0,37.0,9.0,5,75.0,6.0,22.0
Lazio,8.0,61.0,53.0,5.0,6,68.0,11.0,21.0
Roma,10.0,66.0,56.0,7.0,7,61.0,12.0,18.0
Sassuolo,6.0,62.0,56.0,11.0,8,59.0,10.0,16.0
Sampdoria,-5.0,49.0,54.0,7.0,9,49.0,16.0,14.0
Verona,-2.0,45.0,47.0,11.0,10,44.0,15.0,11.0
Bologna,-11.0,47.0,58.0,11.0,11,41.0,16.0,10.0
Udinese,-12.0,41.0,53.0,10.0,12,40.0,17.0,10.0
Genoa,-12.0,46.0,58.0,12.0,13,39.0,16.0,9.0
Fiorentina,-12.0,44.0,56.0,12.0,14,39.0,16.0,9.0
Spezia,-20.0,50.0,70.0,11.0,15,38.0,17.0,9.0
Cagliari,-15.0,43.0,58.0,10.0,16,37.0,18.0,9.0
Torino,-19.0,49.0,68.0,15.0,17,36.0,15.0,7.0
Benevento,-35.0,39.0,74.0,11.0,18,32.0,19.0,7.0
Crotone,-47.0,45.0,92.0,4.0,19,22.0,27.0,6.0
Parma,-41.0,39.0,80.0,11.0,20,20.0,23.0,3.0
