,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,8.0,9.0,1.0,0.0,1,12.0,0.0,4.0
Sassuolo,7.0,13.0,6.0,1.0,2,10.0,0.0,3.0
Napoli,10.0,13.0,3.0,0.0,3,9.0,1.0,3.0
Atalanta,5.0,14.0,9.0,0.0,4,9.0,1.0,3.0
Juventus,4.0,8.0,4.0,2.0,5,8.0,0.0,2.0
Inter,3.0,11.0,8.0,1.0,6,7.0,1.0,2.0
Verona,3.0,4.0,1.0,1.0,7,7.0,1.0,2.0
Roma,1.0,8.0,7.0,1.0,8,7.0,1.0,2.0
Sampdoria,0.0,7.0,7.0,0.0,9,6.0,2.0,2.0
Benevento,-4.0,8.0,12.0,0.0,10,6.0,2.0,2.0
Fiorentina,-1.0,7.0,8.0,1.0,11,4.0,2.0,1.0
Cagliari,-4.0,6.0,10.0,1.0,12,4.0,2.0,1.0
Genoa,-4.0,5.0,9.0,1.0,13,4.0,2.0,1.0
Spezia,-4.0,5.0,9.0,1.0,14,4.0,2.0,1.0
Lazio,-4.0,4.0,8.0,1.0,15,4.0,2.0,1.0
Bologna,-1.0,7.0,8.0,0.0,16,3.0,3.0,1.0
Torino,-3.0,6.0,9.0,0.0,17,3.0,3.0,1.0
Udinese,-3.0,3.0,6.0,0.0,18,3.0,3.0,1.0
Parma,-5.0,4.0,9.0,0.0,19,3.0,3.0,1.0
Crotone,-8.0,3.0,11.0,1.0,20,1.0,3.0,0.0
