squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,45.0,74.0,29.0,7.0,1,82.0,2.0,25.0
Atalanta,39.0,79.0,40.0,9.0,2,69.0,5.0,20.0
Juventus,36.0,67.0,31.0,9.0,3,69.0,5.0,20.0
Milan,21.0,62.0,41.0,6.0,4,69.0,7.0,21.0
Napoli,36.0,74.0,38.0,4.0,5,67.0,9.0,21.0
Lazio,11.0,60.0,49.0,5.0,6,65.0,9.0,20.0
Roma,5.0,58.0,53.0,7.0,7,55.0,11.0,16.0
Sassuolo,5.0,56.0,51.0,11.0,8,53.0,9.0,14.0
Sampdoria,-2.0,45.0,47.0,6.0,9,45.0,15.0,13.0
Verona,-1.0,41.0,42.0,9.0,10,42.0,14.0,11.0
Udinese,-7.0,39.0,46.0,9.0,11,39.0,15.0,10.0
Bologna,-9.0,47.0,56.0,9.0,12,39.0,15.0,10.0
Genoa,-12.0,40.0,52.0,12.0,13,36.0,14.0,8.0
Torino,-9.0,47.0,56.0,14.0,14,35.0,13.0,7.0
Fiorentina,-12.0,45.0,57.0,11.0,15,35.0,15.0,8.0
Spezia,-20.0,43.0,63.0,10.0,16,34.0,16.0,8.0
Cagliari,-17.0,40.0,57.0,8.0,17,32.0,18.0,8.0
Benevento,-31.0,37.0,68.0,10.0,18,31.0,17.0,7.0
Parma,-35.0,36.0,71.0,11.0,19,20.0,20.0,3.0
Crotone,-43.0,42.0,85.0,3.0,20,18.0,26.0,5.0
