,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,17.0,39.0,22.0,4.0,1,43.0,2.0,13.0
Inter,22.0,45.0,23.0,5.0,2,41.0,2.0,12.0
Juventus,20.0,39.0,19.0,6.0,3,39.0,2.0,11.0
Roma,9.0,41.0,32.0,4.0,4,37.0,4.0,11.0
Atalanta,21.0,44.0,23.0,6.0,5,36.0,3.0,10.0
Napoli,21.0,42.0,21.0,1.0,6,34.0,7.0,11.0
Lazio,6.0,32.0,26.0,4.0,7,34.0,5.0,10.0
Verona,7.0,25.0,18.0,6.0,8,30.0,5.0,8.0
Sassuolo,3.0,32.0,29.0,6.0,9,30.0,5.0,8.0
Sampdoria,1.0,30.0,29.0,2.0,10,26.0,9.0,8.0
Benevento,-13.0,23.0,36.0,4.0,11,22.0,9.0,6.0
Fiorentina,-10.0,20.0,30.0,6.0,12,21.0,8.0,5.0
Bologna,-9.0,24.0,33.0,5.0,13,20.0,9.0,5.0
Udinese,-8.0,20.0,28.0,6.0,14,18.0,9.0,4.0
Spezia,-10.0,26.0,36.0,6.0,15,18.0,9.0,4.0
Genoa,-11.0,19.0,30.0,6.0,16,18.0,9.0,4.0
Torino,-9.0,28.0,37.0,8.0,17,14.0,9.0,2.0
Cagliari,-14.0,23.0,37.0,5.0,18,14.0,11.0,3.0
Parma,-22.0,14.0,36.0,7.0,19,13.0,10.0,2.0
Crotone,-21.0,22.0,43.0,3.0,20,12.0,13.0,3.0
