squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,36.0,60.0,24.0,5.0,1,56.0,2.0,17.0
Milan,18.0,47.0,29.0,4.0,2,52.0,4.0,16.0
Juventus,26.0,47.0,21.0,7.0,3,49.0,3.0,14.0
Atalanta,24.0,55.0,31.0,7.0,4,46.0,4.0,13.0
Roma,11.0,48.0,37.0,5.0,5,44.0,6.0,13.0
Napoli,23.0,50.0,27.0,1.0,6,43.0,9.0,14.0
Lazio,6.0,38.0,32.0,4.0,7,43.0,7.0,13.0
Verona,4.0,31.0,27.0,8.0,8,35.0,7.0,9.0
Sassuolo,2.0,39.0,37.0,8.0,9,35.0,7.0,9.0
Sampdoria,-3.0,33.0,36.0,3.0,10,30.0,12.0,9.0
Bologna,-5.0,32.0,37.0,7.0,11,28.0,10.0,7.0
Udinese,-7.0,26.0,33.0,7.0,12,28.0,10.0,7.0
Genoa,-10.0,26.0,36.0,8.0,13,26.0,10.0,6.0
Spezia,-11.0,32.0,43.0,7.0,14,25.0,11.0,6.0
Fiorentina,-11.0,25.0,36.0,7.0,15,25.0,11.0,6.0
Benevento,-19.0,25.0,44.0,7.0,16,25.0,11.0,6.0
Torino,-7.0,36.0,43.0,11.0,17,23.0,9.0,4.0
Cagliari,-15.0,26.0,41.0,6.0,18,18.0,14.0,4.0
Parma,-28.0,19.0,47.0,9.0,19,15.0,13.0,2.0
Crotone,-34.0,23.0,57.0,3.0,20,12.0,18.0,3.0
