squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,37.0,62.0,25.0,5.0,1,59.0,2.0,18.0
Milan,18.0,48.0,30.0,5.0,2,53.0,4.0,16.0
Juventus,29.0,50.0,21.0,7.0,3,52.0,3.0,15.0
Atalanta,28.0,60.0,32.0,7.0,4,49.0,4.0,14.0
Roma,12.0,50.0,38.0,5.0,5,47.0,6.0,14.0
Napoli,23.0,53.0,30.0,2.0,6,44.0,9.0,14.0
Lazio,6.0,38.0,32.0,5.0,7,44.0,7.0,13.0
Verona,7.0,34.0,27.0,8.0,8,38.0,7.0,10.0
Sassuolo,2.0,42.0,40.0,9.0,9,36.0,7.0,9.0
Sampdoria,-3.0,34.0,37.0,4.0,10,31.0,12.0,9.0
Udinese,-7.0,27.0,34.0,8.0,11,29.0,10.0,7.0
Bologna,-6.0,32.0,38.0,7.0,12,28.0,11.0,7.0
Genoa,-10.0,27.0,37.0,9.0,13,27.0,10.0,6.0
Fiorentina,-12.0,26.0,38.0,7.0,14,25.0,12.0,6.0
Spezia,-14.0,32.0,46.0,7.0,15,25.0,12.0,6.0
Benevento,-22.0,25.0,47.0,7.0,16,25.0,12.0,6.0
Torino,-7.0,36.0,43.0,12.0,17,24.0,9.0,4.0
Cagliari,-14.0,27.0,41.0,6.0,18,21.0,14.0,5.0
Parma,-29.0,20.0,49.0,9.0,19,15.0,14.0,2.0
Crotone,-38.0,24.0,62.0,3.0,20,12.0,19.0,3.0
