,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,8.0,12.0,4.0,1.0,1,13.0,0.0,4.0
Napoli,11.0,15.0,4.0,0.0,2,12.0,1.0,4.0
Sassuolo,7.0,16.0,9.0,2.0,3,11.0,0.0,3.0
Inter,5.0,13.0,8.0,1.0,4,10.0,1.0,3.0
Juventus,4.0,9.0,5.0,3.0,5,9.0,0.0,2.0
Atalanta,3.0,15.0,12.0,0.0,6,9.0,2.0,3.0
Sampdoria,2.0,10.0,8.0,0.0,7,9.0,2.0,3.0
Verona,3.0,5.0,2.0,2.0,8,8.0,1.0,2.0
Roma,1.0,11.0,10.0,2.0,9,8.0,1.0,2.0
Fiorentina,0.0,10.0,10.0,1.0,10,7.0,2.0,2.0
Cagliari,-2.0,10.0,12.0,1.0,11,7.0,2.0,2.0
Lazio,-3.0,6.0,9.0,1.0,12,7.0,2.0,2.0
Benevento,-5.0,9.0,14.0,0.0,13,6.0,3.0,2.0
Spezia,-4.0,7.0,11.0,2.0,14,5.0,2.0,1.0
Torino,-3.0,9.0,12.0,1.0,15,4.0,3.0,1.0
Parma,-5.0,6.0,11.0,1.0,16,4.0,3.0,1.0
Genoa,-6.0,5.0,11.0,1.0,17,4.0,3.0,1.0
Bologna,-2.0,8.0,10.0,0.0,18,3.0,4.0,1.0
Udinese,-4.0,5.0,9.0,0.0,19,3.0,4.0,1.0
Crotone,-10.0,5.0,15.0,1.0,20,1.0,4.0,0.0
