,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,41.0,69.0,28.0,7.0,1,73.0,2.0,22.0
Milan,23.0,59.0,36.0,6.0,2,66.0,5.0,20.0
Atalanta,35.0,72.0,37.0,8.0,3,65.0,4.0,19.0
Juventus,33.0,61.0,28.0,8.0,4,62.0,5.0,18.0
Napoli,31.0,66.0,35.0,3.0,5,60.0,9.0,19.0
Lazio,10.0,51.0,41.0,5.0,6,59.0,8.0,18.0
Roma,8.0,55.0,47.0,6.0,7,54.0,9.0,16.0
Sassuolo,3.0,52.0,49.0,10.0,8,46.0,9.0,12.0
Verona,1.0,39.0,38.0,8.0,9,41.0,12.0,11.0
Sampdoria,-4.0,42.0,46.0,6.0,10,39.0,14.0,11.0
Bologna,-4.0,43.0,47.0,7.0,11,37.0,14.0,10.0
Udinese,-7.0,34.0,41.0,9.0,12,36.0,13.0,9.0
Genoa,-13.0,33.0,46.0,11.0,13,32.0,13.0,7.0
Spezia,-18.0,41.0,59.0,8.0,14,32.0,15.0,8.0
Torino,-8.0,45.0,53.0,13.0,15,31.0,12.0,6.0
Fiorentina,-13.0,39.0,52.0,9.0,16,30.0,15.0,7.0
Benevento,-27.0,33.0,60.0,9.0,17,30.0,15.0,7.0
Cagliari,-19.0,35.0,54.0,7.0,18,25.0,18.0,6.0
Parma,-31.0,32.0,63.0,11.0,19,20.0,17.0,3.0
Crotone,-41.0,38.0,79.0,3.0,20,15.0,24.0,4.0
