,squadra_casa,squadra_trasferta,risultato
0,Lazio,Sampdoria,5 - 1
1,Sassuolo,Torino,2 - 1
2,Napoli,Fiorentina,0 - 2
3,Milan,Udinese,3 - 2
4,Brescia,Cagliari,2 - 2
5,Bologna,Verona,1 - 1
6,Lecce,Inter,1 - 1
7,Genoa,Roma,1 - 3
8,Juventus,Parma,2 - 1
9,Atalanta,Spal,1 - 2
