,squadra_casa,squadra_trasferta,risultato
0,Bologna,Spal,1 - 0
1,Milan,Brescia,1 - 0
2,Juventus,Napoli,4 - 3
3,Lazio,Roma,1 - 1
4,Atalanta,Torino,2 - 3
5,Cagliari,Inter,1 - 2
6,Genoa,Fiorentina,2 - 1
7,Lecce,Verona,0 - 1
8,Sassuolo,Sampdoria,4 - 1
9,Udinese,Parma,1 - 3
