,squadra_casa,squadra_trasferta,risultato
0,Lazio,Sassuolo,1 - 2
1,Brescia,Roma,0 - 3
2,Juventus,Atalanta,2 - 2
3,Genoa,Spal,2 - 0
4,Parma,Bologna,2 - 2
5,Fiorentina,Verona,1 - 1
6,Cagliari,Lecce,0 - 0
7,Udinese,Sampdoria,1 - 3
8,Napoli,Milan,2 - 2
9,Inter,Torino,3 - 1
