,squadra_casa,squadra_trasferta,risultato
0,Juventus,Torino,4 - 1
1,Sassuolo,Lecce,4 - 2
2,Lazio,Milan,0 - 3
3,Inter,Bologna,1 - 2
4,Cagliari,Atalanta,0 - 1
5,Parma,Fiorentina,1 - 2
6,Udinese,Genoa,2 - 2
7,Brescia,Verona,2 - 0
8,Sampdoria,Spal,3 - 0
9,Napoli,Roma,2 - 1
