,squadra_casa,squadra_trasferta,risultato
0,Lazio,Bologna,2 - 0
1,Napoli,Torino,2 - 1
2,Lecce,Atalanta,2 - 7
3,Cagliari,Roma,3 - 4
4,Parma,Spal,0 - 1
5,Milan,Genoa,1 - 2
6,Sampdoria,Verona,2 - 1
7,Udinese,Fiorentina,0 - 0
8,Juventus,Inter,2 - 0
9,Sassuolo,Brescia,3 - 0
